Name,Brand,Chipset,Price,RAM Slots,Max RAM,Max Clock,M2QTY,Wifi Support,M2 Support
Maxsun iCraft Z390,MAXSUN,Z390,203.18,4,128,4500,0,FALSE,FALSE
Msi MEG Z390 Ace,MSI,Z390,202.19,4,128,4500,3,TRUE,TRUE
NZXT N7 Z390 Matte White (N7-Z39XT-W1),NZXT,Z390,197.52,4,128,4500,2,TRUE,TRUE
Maxsun Terminator Z390,MAXSUN,Z390,195.14,4,128,4500,0,FALSE,FALSE
Gigabyte Z390 UD,GIGABYTE,Z390,194.60,4,128,4500,1,FALSE,TRUE
Supermicro C9Z390-CG,SUPERMICRO,Z390,194.64,4,128,4500,2,FALSE,TRUE
Msi Z390-A Pro,MSI,Z390,191.69,4,128,4500,1,FALSE,TRUE
Msi MPG Z390 Gaming Pro Carbon AC,MSI,Z390,191.86,4,128,4500,2,TRUE,TRUE
Gigabyte Z390 Gaming SLI,GIGABYTE,Z390,187.43,4,128,4500,2,FALSE,TRUE
Gigabyte Z390 M Gaming,GIGABYTE,Z390,186.82,4,128,4500,2,FALSE,TRUE
Msi MAG Z390M Mortar,MSI,Z390,183.08,4,128,4500,2,FALSE,TRUE
Msi MPG Z390 Gaming Pro Carbon,MSI,Z390,181.45,4,128,4500,2,FALSE,TRUE
Msi MPG Z390I Gaming Edge AC,MSI,Z390,179.28,2,64,4500,2,TRUE,TRUE
Msi MAG Z390 Tomahawk,MSI,Z390,173.62,4,128,4500,2,FALSE,TRUE
Asus ROG Strix Z390-I Gaming,ASUS,Z390,173.74,2,64,4500,2,TRUE,TRUE
Msi MPG Z390 Gaming Plus,MSI,Z390,173.14,4,128,4500,2,FALSE,TRUE
NZXT N7 Z390 Matte Black (N7-Z39XT-B1),NZXT,Z390,160.54,4,128,4500,2,TRUE,TRUE
Maxsun Terminator Z390W Gaming,MAXSUN,Z390,160.46,4,128,4500,2,FALSE,TRUE
Supermicro C9Z390-CG-IW,SUPERMICRO,Z390,153.33,2,64,4500,2,TRUE,TRUE
